Unnamed: 0,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,y
693,27,Private Sector/Self Employed,No,800000,5,1,No,No,0
1893,32,Government Sector,Yes,850000,4,1,No,No,0
621,28,Private Sector/Self Employed,Yes,650000,4,0,No,No,0
1144,31,Government Sector,No,300000,4,0,No,No,0
1587,28,Private Sector/Self Employed,Yes,750000,3,0,No,No,0
31,31,Government Sector,No,300000,4,0,No,No,0
1741,28,Private Sector/Self Employed,Yes,800000,3,0,No,No,0
440,34,Private Sector/Self Employed,Yes,1000000,4,0,No,No,1
173,26,Private Sector/Self Employed,Yes,450000,5,1,No,No,1
1287,34,Private Sector/Self Employed,Yes,500000,4,0,No,No,0
347,34,Private Sector/Self Employed,Yes,1300000,6,0,Yes,No,0
1227,29,Private Sector/Self Employed,Yes,1050000,7,0,No,No,0
263,35,Private Sector/Self Employed,No,800000,4,0,No,No,0
330,35,Private Sector/Self Employed,No,800000,4,0,No,No,0
306,33,Government Sector,Yes,650000,5,1,No,No,1
969,31,Private Sector/Self Employed,Yes,900000,3,0,No,No,0
256,34,Government Sector,Yes,1300000,7,1,No,Yes,1
1683,28,Private Sector/Self Employed,Yes,800000,4,0,Yes,No,0
1592,25,Private Sector/Self Employed,No,1700000,5,0,Yes,No,1
1323,34,Private Sector/Self Employed,Yes,1750000,5,0,No,No,0
804,27,Private Sector/Self Employed,No,350000,4,1,No,No,0
1371,28,Government Sector,Yes,1200000,4,0,No,No,1
550,34,Private Sector/Self Employed,Yes,1050000,5,0,No,No,0
1459,34,Private Sector/Self Employed,Yes,1500000,5,1,Yes,Yes,1
1704,26,Private Sector/Self Employed,Yes,1400000,3,1,No,Yes,0
642,26,Government Sector,Yes,500000,6,1,No,No,0
937,28,Private Sector/Self Employed,Yes,1250000,4,0,No,No,0
924,31,Government Sector,Yes,400000,6,0,No,No,0
540,26,Private Sector/Self Employed,Yes,1500000,3,0,Yes,Yes,1
1206,29,Private Sector/Self Employed,Yes,1200000,3,0,No,No,1
436,28,Private Sector/Self Employed,Yes,1200000,4,1,No,Yes,0
1029,31,Government Sector,No,300000,3,0,No,No,0
1430,25,Private Sector/Self Employed,Yes,1400000,6,0,No,Yes,1
1559,34,Private Sector/Self Employed,Yes,1050000,3,1,No,No,0
495,31,Government Sector,Yes,1200000,4,0,No,No,0
1000,28,Government Sector,Yes,300000,4,0,No,No,0
121,26,Private Sector/Self Employed,Yes,1400000,6,0,No,Yes,1
395,32,Government Sector,Yes,800000,5,0,No,No,0
1067,34,Private Sector/Self Employed,Yes,700000,4,0,Yes,No,1
279,32,Government Sector,Yes,350000,6,0,No,No,0
723,29,Private Sector/Self Employed,Yes,1050000,2,1,Yes,No,0
1434,34,Private Sector/Self Employed,Yes,1750000,3,0,Yes,No,0
1307,28,Private Sector/Self Employed,Yes,900000,3,0,No,No,0
1408,33,Government Sector,Yes,700000,7,0,No,No,1
1729,35,Government Sector,Yes,900000,7,0,No,No,1
70,34,Government Sector,Yes,1300000,4,0,No,No,0
349,28,Private Sector/Self Employed,Yes,500000,3,0,No,No,0
699,32,Government Sector,Yes,800000,3,1,Yes,No,0
1599,27,Government Sector,Yes,850000,3,0,No,No,0
195,25,Private Sector/Self Employed,Yes,1400000,5,0,Yes,Yes,1
250,34,Private Sector/Self Employed,Yes,1000000,6,1,No,No,1
1820,28,Private Sector/Self Employed,Yes,800000,5,0,No,No,0
1767,35,Private Sector/Self Employed,No,800000,4,0,No,No,1
249,28,Private Sector/Self Employed,Yes,1150000,5,0,No,No,0
822,29,Private Sector/Self Employed,Yes,1200000,4,0,No,No,0
353,31,Government Sector,No,300000,3,0,No,No,0
1707,35,Private Sector/Self Employed,No,800000,4,0,No,No,0
1728,26,Private Sector/Self Employed,Yes,500000,6,0,No,No,0
444,28,Private Sector/Self Employed,Yes,700000,4,1,No,No,1
269,27,Private Sector/Self Employed,No,800000,5,0,No,No,0
1902,33,Government Sector,Yes,400000,2,0,No,No,0
1079,34,Private Sector/Self Employed,Yes,1000000,3,0,No,No,0
374,28,Government Sector,Yes,600000,7,0,No,No,0
1543,32,Government Sector,Yes,350000,4,0,No,No,0
1979,28,Private Sector/Self Employed,Yes,1100000,4,1,No,No,0
1108,35,Private Sector/Self Employed,No,950000,3,0,Yes,No,1
1923,26,Private Sector/Self Employed,Yes,750000,3,0,No,No,0
1629,34,Private Sector/Self Employed,Yes,1000000,5,0,Yes,No,0
65,26,Private Sector/Self Employed,Yes,600000,5,1,No,No,0
963,26,Private Sector/Self Employed,Yes,600000,6,1,No,No,1
1830,25,Private Sector/Self Employed,Yes,1700000,6,0,Yes,No,1
545,26,Private Sector/Self Employed,Yes,600000,6,1,No,No,0
1305,29,Private Sector/Self Employed,Yes,900000,5,0,No,No,1
463,33,Private Sector/Self Employed,Yes,750000,2,1,No,No,0
271,35,Government Sector,Yes,900000,3,1,No,No,0
1570,28,Private Sector/Self Employed,Yes,700000,5,0,No,Yes,0
520,35,Government Sector,Yes,1100000,4,1,No,No,0
641,34,Private Sector/Self Employed,Yes,700000,5,1,No,Yes,0
1940,25,Private Sector/Self Employed,Yes,1400000,5,0,Yes,Yes,0
596,31,Private Sector/Self Employed,Yes,1350000,5,0,No,Yes,1
614,34,Private Sector/Self Employed,Yes,1000000,5,1,No,No,0
373,28,Private Sector/Self Employed,Yes,900000,5,0,Yes,No,0
103,26,Private Sector/Self Employed,Yes,1400000,5,0,No,Yes,1
240,27,Private Sector/Self Employed,No,350000,7,0,No,No,0
416,31,Private Sector/Self Employed,Yes,1400000,7,0,No,Yes,1
686,33,Private Sector/Self Employed,Yes,1500000,3,0,Yes,Yes,1
1733,31,Government Sector,No,300000,5,0,No,No,0
952,28,Private Sector/Self Employed,Yes,1450000,5,0,Yes,Yes,1
1051,25,Private Sector/Self Employed,No,600000,4,0,Yes,Yes,0
1313,29,Private Sector/Self Employed,Yes,900000,7,0,No,No,0
209,25,Private Sector/Self Employed,No,1700000,3,1,Yes,No,0
1604,29,Private Sector/Self Employed,Yes,1050000,7,0,No,No,0
345,29,Private Sector/Self Employed,Yes,1200000,5,0,No,Yes,0
424,29,Private Sector/Self Employed,Yes,1100000,7,1,Yes,No,1
339,29,Private Sector/Self Employed,Yes,1050000,5,0,No,No,0
1663,28,Private Sector/Self Employed,Yes,1250000,3,0,No,No,0
1534,33,Government Sector,Yes,1750000,6,0,No,No,1
1347,28,Private Sector/Self Employed,Yes,1300000,3,0,No,No,0
1335,25,Government Sector,Yes,750000,5,1,Yes,No,0
120,28,Private Sector/Self Employed,Yes,800000,3,1,No,No,0
1451,25,Private Sector/Self Employed,No,1150000,4,1,No,No,0
1876,34,Private Sector/Self Employed,Yes,1500000,4,1,Yes,Yes,1
861,30,Private Sector/Self Employed,No,1450000,3,1,Yes,Yes,1
1193,34,Private Sector/Self Employed,No,950000,3,0,No,No,0
